File Name,Estimated Clock Period,BRAM_18K,DSP,FF,LUT,URAM,BRAM_18K percentage,DSP percentage,FF percentage,LUT percentage
u_n_n_u_u_d_ap__not__ar_ap_bs,7.005,8,2,627,1099,0,2.85714285714286,0.909090909090909,0.589285714285714,2.06578947368421
n_u_u_n_u_d_ap__ar__ap_bs,7.005,8,2,627,1099,0,2.85714285714286,0.909090909090909,0.589285714285714,2.06578947368421
n_n_u_u_u_d_ar_ap__ap__ap,7.005,6,2,631,1101,0,2.14285714285714,0.909090909090909,0.593045112781955,2.06954887218045
n_u_n_n_n_d_bs__ap__ap_bs,7.005,8,3,642,1107,0,2.85714285714286,1.36363636363636,0.603383458646617,2.08082706766917
u_u_n_u_u_d_bs__ap__ap_bs,7.005,8,3,642,1107,0,2.85714285714286,1.36363636363636,0.603383458646617,2.08082706766917
n_n_n_d_p_n_ar_ap_bs__ap__ar_ap_bs,7.04,8,1,1078,1193,0,2.85714285714286,0.454545454545455,1.01315789473684,2.24248120300752
n_u_n_d_p_n_ap_bs__ap__ar_ap,7.04,6,1,1082,1195,0,2.14285714285714,0.454545454545455,1.01691729323308,2.24624060150376
u_n_u_d_p_n_not__ap__ar_ap,7.04,6,1,1082,1195,0,2.14285714285714,0.454545454545455,1.01691729323308,2.24624060150376
n_n_u_d_p_n_ar_ap__ap__ar_ap,7.04,6,1,1082,1195,0,2.14285714285714,0.454545454545455,1.01691729323308,2.24624060150376
n_u_u_u_d_p_ar_ap__ap__ap,7.04,6,2,1156,1220,0,2.14285714285714,0.909090909090909,1.08646616541353,2.29323308270677
d_n_n_n_n_d_ar_ap__ap__ar_ap_bs,7.005,8,2,1520,1233,0,2.85714285714286,0.909090909090909,1.42857142857143,2.31766917293233
d_u_n_n_u_d_ap__ar_ap__ap_bs,7.005,8,2,1520,1233,0,2.85714285714286,0.909090909090909,1.42857142857143,2.31766917293233
d_u_n_n_u_d_ar_ap_bs__ap__ar_ap_bs,7.005,8,2,1520,1233,0,2.85714285714286,0.909090909090909,1.42857142857143,2.31766917293233
d_n_u_u_u_u_bs__ar__ar_ap,7.04,6,3,1557,1234,0,2.14285714285714,1.36363636363636,1.46334586466165,2.31954887218045
d_n_n_n_n_d_ap__ar_ap__ar_ap,7.005,6,2,1524,1235,0,2.14285714285714,0.909090909090909,1.43233082706767,2.32142857142857
u_d_u_d_p_u_bs__ar_ap__ar_ap,7.04,6,3,1513,1239,0,2.14285714285714,1.36363636363636,1.42199248120301,2.32894736842105
d_u_u_n_u_n_ar_ap__not__ap_bs,7.04,8,2,1611,1239,0,2.85714285714286,0.909090909090909,1.5140977443609,2.32894736842105
d_u_u_n_n_n_ap__ar_ap__ap_bs,7.04,8,2,1611,1239,0,2.85714285714286,0.909090909090909,1.5140977443609,2.32894736842105
d_n_u_n_n_u_ap_bs__ap__ap_bs,7.04,8,2,1611,1239,0,2.85714285714286,0.909090909090909,1.5140977443609,2.32894736842105
d_u_n_n_n_u_ap__ar_ap__ar_ap_bs,7.04,8,2,1611,1239,0,2.85714285714286,0.909090909090909,1.5140977443609,2.32894736842105
d_n_u_n_u_u_ap__not__ar_ap_bs,7.04,8,2,1611,1239,0,2.85714285714286,0.909090909090909,1.5140977443609,2.32894736842105
d_u_u_n_n_u_not__ar__ap_bs,7.04,8,2,1611,1239,0,2.85714285714286,0.909090909090909,1.5140977443609,2.32894736842105
d_u_n_u_u_d_bs__ar__ar_ap_bs,7.005,8,3,1523,1241,0,2.85714285714286,1.36363636363636,1.43139097744361,2.33270676691729
d_n_n_u_u_d_bs__ar_ap__ar_ap_bs,7.005,8,3,1523,1241,0,2.85714285714286,1.36363636363636,1.43139097744361,2.33270676691729
d_u_n_u_n_n_ar__ap__ap,7.04,6,2,1615,1241,0,2.14285714285714,0.909090909090909,1.51785714285714,2.33270676691729
d_u_n_n_u_n_ar_bs__not__ar_ap,7.04,6,2,1615,1241,0,2.14285714285714,0.909090909090909,1.51785714285714,2.33270676691729
